﻿Venue Name,Venue address,Venue type,Latitude,Longitude,Suburb,suburb_list,geolocation
"Raymond Park, Kangaroo Point","Raymond Park, 184 Wellington Road, Kangaroo Point",Park,-27.48,153.0383,Kangaroo Point,"K, Kangaroo Point","-27.48, 153.0383"
"Real Park, East Brisbane","Real Park, 33 Heath Street, East Brisbane",Park,-27.481,153.0488,East Brisbane,"E, East Brisbane","-27.481, 153.0488"
"Reddacliff Place, Brisbane City","Reddacliff Place, 266 George Street, Brisbane City",General Council venue,-27.4711,153.0229,Brisbane City,"B, Brisbane City","-27.4711, 153.0229"
"Redway Street Park, Nudgee","Redway Street Park, 36 Redway Street, Nudgee",Park,-27.3733,153.0865,Nudgee,"N, Nudgee","-27.3733, 153.0865"
"Regatta Park, Toowong","Regatta Park, 566 Coronation Drive, Toowong",Park,-27.4823,152.9969,Toowong,"T, Toowong","-27.4823, 152.9969"
"Regency Place Park (No.16), Stretton","Regency Place Park (No.16), 16 Regency Place, Stretton",Park,-27.616,153.0751,Stretton,"S, Stretton","-27.616, 153.0751"
"Regent Park, Cannon Hill","Regent Park, 805 Wynnum Road, Cannon Hill",Park,-27.4682,153.0808,Cannon Hill,"C, Cannon Hill","-27.4682, 153.0808"
"Regents Circuit Park, Forest Lake","Regents Circuit Park, 32 Centennial Way, Forest Lake",Park,-27.6297,152.9576,Forest Lake,"F, Forest Lake","-27.6297, 152.9576"
"Rembrandt Street Park, Carina","Rembrandt Street Park, 1710 Creek Road, Carina",Park,-27.478543,153.093433,Carina,"C, Carina","-27.478543, 153.093433"
Remick Street Park,"Remick Street Park, Remick Street, Stafford Heights",Park,-27.3927,153.0046,Stafford Heights,"S, Stafford Heights","-27.3927, 153.0046"
"Riaweena Street Park, The Gap","Riaweena Street Park, 68 School Road, The Gap",Park,-27.4473,152.9436,The Gap,"T, The Gap","-27.4473, 152.9436"
"Richard Martin Place, Sunnybank","Richard Martin Place, 121 Lister Street, Sunnybank",Park,-27.5781,153.0572,Sunnybank,"S, Sunnybank","-27.5781, 153.0572"
"Richard Randall Art Studio, Toowong","Brisbane Botanic Gardens Mt Coot-tha, 152 Mount Coot-tha Road, Toowong","Community Hall,General Council venue",-27.475,152.9775,Toowong,"T, Toowong","-27.475, 152.9775"
"Richard Russell Park, Manly","Richard Russell Park, 184 Carlton Terrace, Manly",Park,-27.455388,153.182697,Manly,"M, Manly","-27.455388, 153.182697"
"Richlands Depot Park, Inala","Richlands Depot Park, 24 Government Road, Inala",Park,-27.6005,152.9582,Inala,"I, Inala","-27.6005, 152.9582"
"Rikki Bailey Park, Oxley","Rikki Bailey Park, 224 Englefield Road, Oxley",Park,-27.5619,152.9665,Oxley,"O, Oxley","-27.5619, 152.9665"
"Rilatt Park, Wavell Heights","Rilatt Park, 69 Rilatt Street, Wavell Heights",Park,-27.3915,153.0477,Wavell Heights,"W, Wavell Heights","-27.3915, 153.0477"
"Riverstage, Brisbane City","Riverstage, Gardens Point Road, Brisbane City",General Council venue,-27.4788,153.0301,Brisbane City,"B, Brisbane City","-27.4788, 153.0301"
Riverston Court Park (road reserve),"Riverston Court Park, 1 Riverston Court, Carindale",Park,-27.5138,153.1012,Carindale,"C, Carindale","-27.5138, 153.1012"
"Riverview Farm Park, Westlake","Riverview Farm Park, 121 Wendouree Crescent, Westlake",Park,-27.546067,152.904329,Westlake,"W, Westlake","-27.546067, 152.904329"
"Robert Mitchell Park, Sunnybank Hills","Robert Mitchell Park, 126 Ryhill Road, Sunnybank Hills",Park,-27.5844,153.042,Sunnybank Hills,"S, Sunnybank Hills","-27.5844, 153.042"
"Robertson Park, Taringa","Robertson Park, 249 Indooroopilly Road, Taringa",Park,-27.5026,152.9887,Taringa,"T, Taringa","-27.5026, 152.9887"
"Robinson Park, Fairfield","Robinson Park, 65 Ashby Street, Fairfield",Park,-27.5086,153.0235,Fairfield,"F, Fairfield","-27.5086, 153.0235"
"Robinson Park, Tingalpa","Robinson Park, 449 Wondall Road, Tingalpa",Park,-27.4696,153.1488,Tingalpa,"T, Tingalpa","-27.4696, 153.1488"
"Robtrish Street Park, Manly West","Robtrish Street Park, 31 Robtrish Street, Manly West",Park,-27.4674,153.1662,Manly West,"M, Manly West","-27.4674, 153.1662"
Rochedale Community Garden,"Rochedale Community Garden, 160 Rochedale Road, Rochedale",Community Garden,-27.5584,153.1294,Rochedale,"R, Rochedale","-27.5584, 153.1294"
"Rochedale Community Hall, Rochedale","Rochedale Community Hall, 48 Farmers Street, Rochedale",Community Hall,-27.5767252,153.1108064,Rochedale,"R, Rochedale","-27.5767252, 153.1108064"
"Rocks Riverside Park, Seventeen Mile Rocks","Rocks Riverside Park, 5 Counihan Road, Seventeen Mile Rocks","Community Garden,Park",-27.5429,152.9609,Seventeen Mile Rocks,"S, Seventeen Mile Rocks","-27.5429, 152.9609"
Roghan Road Park,"Roghan Road Park, Roghan Road, Fitzgibbon",Park,-27.3334,152.9948,Fitzgibbon,"F, Fitzgibbon","-27.3334, 152.9948"
"Roma Street Parkland, Brisbane City","Roma Street Parkland, 1 Parkland Boulevard, Brisbane City",Park,-27.466,153.0226,Brisbane City,"B, Brisbane City","-27.466, 153.0226"
Ron Goeldner Park,"Ron Goeldner Park, 50 Esplanade, Yeronga",Park,-27.505801,153.008018,Yeronga,"Y, Yeronga","-27.505801, 153.008018"
"Ron Ward Park, The Gap","Ron Ward Park, 8 Tingward Street, The Gap",Park,-27.4321,152.942,The Gap,"T, The Gap","-27.4321, 152.942"
"Ron Woolley Place, Mansfield","Ron Woolley Place, 121 Tones Road, Mansfield",Park,-27.530169,153.111555,Mansfield,"M, Mansfield","-27.530169, 153.111555"
"Rory Street Park, Richlands","Rory Street Park, 4 Rory Street, Richlands",Park,-27.5877,152.9655,Richlands,"R, Richlands","-27.5877, 152.9655"
"Rosebank Square, Salisbury","Rosebank Square, 64 Rosebank Square, Salisbury",Park,-27.5555,153.0431,Salisbury,"S, Salisbury","-27.5555, 153.0431"
"Rosemount Park, Sinnamon Park","Rosemount Park, 27 Drummond Street, Sinnamon Park",Park,-27.5481,152.9496,Sinnamon Park,"S, Sinnamon Park","-27.5481, 152.9496"
"Roseneath Drive Park, Parkinson","Roseneath Drive Park, 11 Roseneath Drive, Parkinson",Park,-27.638,153.0271,Parkinson,"P, Parkinson","-27.638, 153.0271"
"Ross Park, Nundah","Ross Park, 1018 Sandgate Road, Nundah",Park,-27.4095,153.0586,Nundah,"N, Nundah","-27.4095, 153.0586"
"Ross Street Park, Newstead","Ross Street Park, 62 Ross Street, Newstead",Park,-27.4414,153.0436,Newstead,"N, Newstead","-27.4414, 153.0436"
"Rotary International Presidents Park, St Lucia","Rotary International Presidents Park, 37 Keith Street, St Lucia",Park,-27.4919,153.0108,St Lucia,"S, St Lucia","-27.4919, 153.0108"
"Rotary Park, Heathwood","Rotary Park, 399 Stapylton Road, Heathwood",Park,-27.632162,152.9860696,Heathwood,"H, Heathwood","-27.632162, 152.9860696"
"Rowena Street Park (no. 36), Kenmore","Rowena Street Park (no. 36), 36 Rowena Street, Kenmore",Park,-27.518,152.9265,Kenmore,"K, Kenmore","-27.518, 152.9265"
"Rowlinson Park, Yeronga","Rowlinson Park, 14 Nelson Street, Yeronga",Park,-27.5199,153.014,Yeronga,"Y, Yeronga","-27.5199, 153.014"
"Roxwell Street Park, Forest Lake","Roxwell Street Park, 3 Taylor Place, Forest Lake",Park,-27.6239,152.9469,Forest Lake,"F, Forest Lake","-27.6239, 152.9469"
"Roy Emerson Tennis Centre, Milton","Roy Emerson Tennis Centre, 315 Milton Road, Milton",Non-Council venue,-27.4692525,152.9980985,Milton,"M, Milton","-27.4692525, 152.9980985"
"Roy Harvey Park, Stafford","Roy Harvey Park, 34 Byth Street, Stafford",Park,-27.4106,153.0062,Stafford,"S, Stafford","-27.4106, 153.0062"
Royal Parade Park,"Royal Parade Park, Royal Parade, Ashgrove",Park,-27.4458,152.967,Ashgrove,"A, Ashgrove","-27.4458, 152.967"
"RQYS Port Centre Park, Manly","RQYS Port Centre Park, 578J Royal Esplanade, Manly",Park,-27.4613,153.1903,Manly,"M, Manly","-27.4613, 153.1903"
"Runcorn Pool, Runcorn","Runcorn Pool, 37 Bonemill Road, Runcorn",Swimming pool,-27.5916,153.0757,Runcorn,"R, Runcorn","-27.5916, 153.0757"
Russ Hall Park,"Russ Hall Park, McCarthy Road, Salisbury",Park,-27.5519,153.0358,Salisbury,"S, Salisbury","-27.5519, 153.0358"
"Sabot Court Park, Manly West","Sabot Court Park, 138 Radford Road, Manly West",Park,-27.4688,153.1627,Manly West,"M, Manly West","-27.4688, 153.1627"
Salisbury Community Garden,"Salisbury Community Garden, Salisbury State School, Lillian Avenue, Salisbury","Community Garden,Non-Council venue",-27.5557,153.0381,Salisbury,"S, Salisbury","-27.5557, 153.0381"
"Salisbury Recreation Reserve, Salisbury","Salisbury Recreation Reserve, 323 Evans Road, Salisbury",Park,-27.5512,153.0358,Salisbury,"S, Salisbury","-27.5512, 153.0358"
Sanananda Street Park,"Sanananda Street Park, 961 Centenary Highway, Darra",Park,-27.5726,152.9434,Darra,"D, Darra","-27.5726, 152.9434"
"Sanctuary Drive Park, Forest Lake","Sanctuary Drive Park, 62 Sanctuary Drive, Forest Lake",Park,-27.6353,152.9833,Forest Lake,"F, Forest Lake","-27.6353, 152.9833"
Sandbag Community Garden,"Sandbag Community Garden, 153 Rainbow Street, Sandgate","Community Garden,Non-Council venue",-27.3222,153.0733,Sandgate,"S, Sandgate","-27.3222, 153.0733"
"Sandgate Aquatic Centre, Sandgate","Sandgate Aquatic Centre, 231 Flinders Parade, Sandgate",Swimming pool,-27.312,153.0665,Sandgate,"S, Sandgate","-27.312, 153.0665"
"Sandgate Foreshores Park, Sandgate","Sandgate Foreshores Park, 1 Flinders Parade, Sandgate",Park,-27.2928,153.0647,Sandgate,"S, Sandgate","-27.2928, 153.0647"
Sandgate Library,"Sandgate Library, 1 Seymour Street, Sandgate",Library,-27.3207,153.0704,Sandgate,"S, Sandgate","-27.3207, 153.0704"
"Sandgate Memorial Park, Sandgate","Sandgate Memorial Park, 8 Seymour Street, Sandgate",Park,-27.3206,153.0698,Sandgate,"S, Sandgate","-27.3206, 153.0698"
"Sandgate Second Lagoon Reserve, Sandgate","Sandgate Second Lagoon Reserve, 122 Brighton Road, Sandgate",Park,-27.319,153.0636,Sandgate,"S, Sandgate","-27.319, 153.0636"
"Sandgate Third Lagoon Reserve, Bracken Ridge","Sandgate Third Lagoon Reserve, 83 Barfoot Street, Bracken Ridge",Park,-27.3095,153.0445,Bracken Ridge,"B, Bracken Ridge","-27.3095, 153.0445"
"Sandgate Town Hall, Sandgate","Sandgate Town Hall, corner of Cliff and Seymour Streets, Sandgate",Community Hall,-27.3201,153.0698,Sandgate,"S, Sandgate","-27.3201, 153.0698"
"Sandy Creek Park, Tarragindi","Sandy Creek Park, 27 Lana Street, Tarragindi",Park,-27.5276,153.0416,Tarragindi,"T, Tarragindi","-27.5276, 153.0416"
"Sapsford Street Park, Northgate","Sapsford Street Park, 21 Sapsford Street, Northgate",Park,-27.3934,153.0648,Northgate,"N, Northgate","-27.3934, 153.0648"
"Scarlet Place Park, Forest Lake","Scarlet Place Park, 36 Scarlet Place, Forest Lake",Park,-27.6116,152.9716,Forest Lake,"F, Forest Lake","-27.6116, 152.9716"
"Sceptre Row Park, Bardon","Sceptre Row Park, 148 Empress Terrace, Bardon",Park,-27.4542,152.9867,Bardon,"B, Bardon","-27.4542, 152.9867"
School Road Park,"School Road Park, 1176 Waterworks Road, The Gap",Park,-27.443883,152.940106,The Gap,"T, The Gap","-27.443883, 152.940106"
"Schooner Circuit Park, Manly West","Schooner Circuit Park, 12 Denise Street, Manly West",Park,-27.4704,153.1603,Manly West,"M, Manly West","-27.4704, 153.1603"
"Scurr Park, Mount Gravatt East","Scurr Park, 1090 Cavendish Road, Mount Gravatt East",Park,-27.5264,153.0893,Mt Gravatt East,"M, Mt Gravatt East","-27.5264, 153.0893"
"Seabrook Circuit Park, Westlake","Seabrook Circuit Park, 40 Seabrook Circuit, Westlake",Park,-27.5501,152.9147,Westlake,"W, Westlake","-27.5501, 152.9147"
"Seafern Street Park, Sunnybank Bank","Seafern Street Park, 23 Flintstone Street, Sunnybank Hills",Park,-27.6065,153.0614,Sunnybank Hills,"S, Sunnybank Hills","-27.6065, 153.0614"
"Sedgemoor Street Park, Stafford Heights","Sedgemoor Street Park, 1 Woodward Street, Stafford Heights",Park,-27.3987,153.0053,Stafford Heights,"S, Stafford Heights","-27.3987, 153.0053"
"Sedgley Park, Alderley","Sedgley Park, 401 Enoggera Road, Alderley",Park,-27.4292,153.006,Alderley,"A, Alderley","-27.4292, 153.006"
"Seils Park, Ashgrove","Seils Park, 27 Toomba Avenue, Ashgrove",Park,-27.4375,152.9971,Ashgrove,"A, Ashgrove","-27.4375, 152.9971"
"Selkirk Crescent Park, Upper Kedron","Selkirk Crescent Park, 80 Selkirk Crescent, Upper Kedron",Park,-27.4089,152.9194,Upper Kedron,"U, Upper Kedron","-27.4089, 152.9194"
"Settler Street Park, Eight Mile Plains","Settler Street Park, 30 Settler Street, Eight Mile Plains",Park,-27.5901064,153.1034151,Eight Mile Plains,"E, Eight Mile Plains","-27.5901064, 153.1034151"
"Settlers Park, Sinnamon Park","Settlers Park, 9 Dove Tree Crescent, Sinnamon Park",Park,-27.5526,152.9417,Sinnamon Park,"S, Sinnamon Park","-27.5526, 152.9417"
"Settlers Village Park, Forest Lake","Settlers Village Park, 22A Stuart Place, Forest Lake",Park,-27.6169,152.97,Forest Lake,"F, Forest Lake","-27.6169, 152.97"
"Seven Hills Bushland Reserve, Seven Hills","Seven Hills Bushland Reserve, 508 Darcy Road, Seven Hills",Park,-27.4788,153.0841,Seven Hills,"S, Seven Hills","-27.4788, 153.0841"
Seven Hills Hub,"Seven Hills Hub, 28 Tallowwood Street, Seven Hills",General Council venue,-27.4774835,153.0735009,Seven Hills,"S, Seven Hills","-27.4774835, 153.0735009"
"Seville Park, Holland Park","Seville Park, 5 Elgar Street, Holland Park",Park,-27.5218,153.0714,Holland Park,"H, Holland Park","-27.5218, 153.0714"
"Shafik Torbey Park, Darra","Shafik Torbey Park, 85 Balfour Street, Darra",Park,-27.5696,152.9557,Darra,"D, Darra","-27.5696, 152.9557"
"Shaftesbury Street Park, Tarragindi","Shaftesbury Street Park, 59 Shaftesbury Street, Tarragindi",Park,-27.5188,153.0414,Tarragindi,"T, Tarragindi","-27.5188, 153.0414"
"Shand Street Park (no. 131), Alderley","Shand Street Park (no. 131), 131 Shand Street, Alderley",Park,-27.4127,152.9977,Alderley,"A, Alderley","-27.4127, 152.9977"
"Shand Street Park (No.100), Stafford","Shand Street Park (No.100), 100 Shand Street, Stafford",Park,-27.4148,153.0035,Stafford,"S, Stafford","-27.4148, 153.0035"
"Shaw Estate Park, Wavell Heights","Shaw Estate Park, 150 Shaw Road, Wavell Heights",Park,-27.4017,153.0394,Wavell Heights,"W, Wavell Heights","-27.4017, 153.0394"
"Shaw Park Tennis Centre, Wooloowin","Shaw Park Tennis Centre, 128 Shaw Road, Wooloowin",Non-Council venue,-27.4060685,153.0421347,Wooloowin,"W, Wooloowin","-27.4060685, 153.0421347"
"Shaw Park, Wavell Heights","Shaw Park, 151 Shaw Road, Wavell Heights",Park,-27.4047,153.0486,Wavell Heights,"W, Wavell Heights","-27.4047, 153.0486"
"She-Oak Park, Belmont","She-Oak Park, 216 Belmont Road, Belmont",Park,-27.4853,153.1282,Belmont,"B, Belmont","-27.4853, 153.1282"
"Sheehy Street Park, Stafford","Sheehy Street Park, 45 Shand Street, Stafford",Park,-27.4126,153.0067,Stafford,"S, Stafford","-27.4126, 153.0067"
"Sheffield Place Park, Kuraby","Sheffield Place Park, 30 Aberdeen Crescent, Kuraby",Park,-27.6093,153.0904,Kuraby,"K, Kuraby","-27.6093, 153.0904"
"Sheoak Street Park, Middle Park","Sheoak Street Park, 11 Sheoak Street, Middle Park",Park,-27.5568,152.9247,Middle Park,"M, Middle Park","-27.5568, 152.9247"
"Shepherd Place Park, Shorncliffe","Shepherd Place Park, 5 Signal Row, Shorncliffe",Park,-27.3227,153.0811,Shorncliffe,"S, Shorncliffe","-27.3227, 153.0811"
"Sheriff Park, Wakerley","Sheriff Park, 45 Habitat Drive, Wakerley",Park,-27.4876,153.1626,Wakerley,"W, Wakerley","-27.4876, 153.1626"
"Sherwood Arboretum, Sherwood","Sherwood Arboretum, 87 Jolimont Street, Sherwood",Park,-27.5327373,152.9740942,Sherwood,"S, Sherwood","-27.5327373, 152.9740942"
"Sherwood Neighbourhood Centre, Sherwood","Sherwood Neighbourhood Centre, 38 Thallon Street, Sherwood",Non-Council venue,-27.534,152.9803,Sherwood,"S, Sherwood","-27.534, 152.9803"
"Sherwood Room, Brisbane City Hall","Sherwood Room, Brisbane City Hall, 64 Adelaide Street, Brisbane City",General Council venue,-27.4691,153.0241,Brisbane City,"B, Brisbane City","-27.4691, 153.0241"
"Shillington Place Park, Wishart","Shillington Place Park, 590A Mt Gravatt-Capalaba Road, Wishart",Park,-27.5482,153.1075,Wishart,"W, Wishart","-27.5482, 153.1075"
"Shirley Sester Park, Runcorn","Shirley Sester Park, 26 Lakefield Place, Runcorn",Park,-27.6039,153.0778,Runcorn,"R, Runcorn","-27.6039, 153.0778"
"Shorncliffe Downstream Boat Ramp, Shorncliffe","Shorncliffe Downstream Boat Ramp, Allpass Parade, Shorncliffe",General Council venue,-27.3297,153.0863,Shorncliffe,"S, Shorncliffe","-27.3297, 153.0863"
"Shorncliffe Upstream Canoe Ramp, Shorncliffe","Shorncliffe Upstream Canoe Ramp, Allpass Parade, Shorncliffe",General Council venue,-27.3298,153.0848,Shorncliffe,"S, Shorncliffe","-27.3298, 153.0848"
"Showground Park, Nudgee","Showground Park, 61 Hayden Street, Nudgee",Park,-27.3649,153.0851,Nudgee,"N, Nudgee","-27.3649, 153.0851"
"Sid Loder Park, Mitchelton","Sid Loder Park, 28 Tel-el-Kebir Street, Mitchelton",Park,-27.4169,152.9778,Mitchelton,"M, Mitchelton","-27.4169, 152.9778"
"Silkyoak Circuit Park, Fitzgibbon","Silkyoak Circuit Park, 62 Silkyoak Circuit, Fitzgibbon",Park,-27.346,153.031,Fitzgibbon,"F, Fitzgibbon","-27.346, 153.031"
"Silvertop Street Park, Keperra","Silvertop Street Park, 34 Silvertop Street, Keperra",Park,-27.4114,152.9548,Keperra,"K, Keperra","-27.4114, 152.9548"
Simpsons Playground,"Simpsons Playground, Nadine Street, Graceville",Park,-27.5219,152.9907,Graceville,"G, Graceville","-27.5219, 152.9907"
Sinbad Street Boat Ramp,"Sinbad Street Boat Ramp, Sinbad Street, Shorncliffe",Park,-27.3341,153.0813,Shorncliffe,"S, Shorncliffe","-27.3341, 153.0813"
"Sir James Killen Reserve, Sunnybank Hills","Sir James Killen Reserve, 154 Stones Road, Sunnybank Hills",Park,-27.5871,153.0509,Sunnybank Hills,"S, Sunnybank Hills","-27.5871, 153.0509"
"Sir John Chandler Park, Indooroopilly","Sir John Chandler Park, 151 Harts Road, Indooroopilly",Park,-27.5175,152.9937,Indooroopilly,"I, Indooroopilly","-27.5175, 152.9937"
"Sir Manuel Hornibrook Park, Teneriffe","Sir Manuel Hornibrook Park, 29 Vernon Terrace, Teneriffe",Park,-27.4529,153.0495,Teneriffe,"T, Teneriffe","-27.4529, 153.0495"
"Sir Thomas Brisbane Planetarium, Mt Coot-tha","Sir Thomas Brisbane Planetarium, 152 Mt Coot-tha Road, Mt Coot-tha",General Council venue,-27.4757,152.9771,Mt Coot-tha,"M, Mt Coot-tha","-27.4757, 152.9771"
"Sleaford Street Park, Chapel Hill","Sleaford Street Park, 16 Sleaford Street, Chapel Hill",Park,-27.488,152.9422,Chapel Hill,"C, Chapel Hill","-27.488, 152.9422"
"Sleeman Sports Complex, Chandler","Sleeman Sports Complex, 1763 Old Cleveland Road, Chandler",Non-Council venue,-27.5097618,153.1473938,Chandler,"C, Chandler","-27.5097618, 153.1473938"
"Soames Street Park, Everton Park","Soames Street Park, 34 Soames Street, Everton Park",Park,-27.3914,152.9823,Everton Park,"E, Everton Park","-27.3914, 152.9823"
"Solar Park, McDowall","Solar Park, 128 Streisand Drive, McDowall",Park,-27.3706,152.9847,McDowall,"M, McDowall","-27.3706, 152.9847"
"Solferino Place Park, The Gap","Solferino Place Park, 55 Michaela Crescent, The Gap",Park,-27.4388,152.937,The Gap,"T, The Gap","-27.4388, 152.937"
"Songbird Way Park, Taigum","Songbird Way Park, 26 Songbird Way, Taigum",Park,-27.3392,153.0464,Taigum,"T, Taigum","-27.3392, 153.0464"
"South Bank, Brisbane City","South Bank, Corner Ernest Street, Stanley Street and Grey Street, South Brisbane",Park,-27.4781,153.0229,South Brisbane,"S, South Brisbane","-27.4781, 153.0229"
"South Brisbane Cemetery, Dutton Park","South Brisbane Cemetery, 185 Annerley Road, Dutton Park",General Council venue,-27.498,153.0277,Dutton Park,"D, Dutton Park","-27.498, 153.0277"
"South Brisbane Riverside Lands Park, South Brisbane","South Brisbane Riverside Lands Park, 23A Hockings Street, South Brisbane",Park,-27.4748,153.0071,South Brisbane,"S, South Brisbane","-27.4748, 153.0071"
"Southgate Avenue Park, Cannon Hill","Southgate Avenue Park, 91 Southgate Avenue, Cannon Hill",Park,-27.4658,153.0914,Cannon Hill,"C, Cannon Hill","-27.4658, 153.0914"
"Speilberg Street Park, McDowall","Speilberg Street Park, 1069 Hamilton Road, McDowall",Park,-27.3754,152.9871,McDowall,"M, McDowall","-27.3754, 152.9871"
"Spencer Park, Newmarket","Spencer Park, 25 Ruby Street, Newmarket",Park,-27.4391,153.0106,Newmarket,"N, Newmarket","-27.4391, 153.0106"
"Spring Creek Reserve, Carindale","Spring Creek Reserve, 51 Woodland Street, Carindale",Park,-27.517603,153.11707,Carindale,"C, Carindale","-27.517603, 153.11707"
"Spring Hill Baths, Spring Hill","Spring Hill Baths, 14 Torrington Street, Spring Hill",Swimming pool,-27.4599,153.0191,Spring Hill,"S, Spring Hill","-27.4599, 153.0191"
"Springfield Crescent Park, Parkinson","Springfield Crescent Park, 55 Bannockburn Crescent, Parkinson",Park,-27.6326,153.0319,Parkinson,"P, Parkinson","-27.6326, 153.0319"
"Springwater Place Park (no. 27), Algester","Springwater Place Park (no. 27), 27 Springwater Place, Algester",Park,-27.6008,153.0388,Algester,"A, Algester","-27.6008, 153.0388"
"St Achs Street Park, Nudgee","St Achs Street Park, 66 St Achs Street, Nudgee",Park,-27.3677,153.0835,Nudgee,"N, Nudgee","-27.3677, 153.0835"
"St Andrews Avenue Park, Forest Lake","St Andrews Avenue Park, 6 St Andrews Avenue, Forest Lake",Park,-27.6301,152.9697,Forest Lake,"F, Forest Lake","-27.6301, 152.9697"
"St David's Neighbourhood Centre, Coopers Plains","St David's Neighbourhood Centre, 68 Orange Grove Road, Coopers Plains",Non-Council venue,-27.566536,153.0360128,Coopers Plains,"C, Coopers Plains","-27.566536, 153.0360128"
"St Helens Road Park (Nos.16-70), Mitchelton","St Helens Road Park (Nos.16-70), 70 St Helens Road, Mitchelton",Park,-27.4017,152.973,Mitchelton,"M, Mitchelton","-27.4017, 152.973"
"St James Street Park, Forest Lake","St James Street Park, 38 St James Street, Forest Lake",Park,-27.6272,152.9564,Forest Lake,"F, Forest Lake","-27.6272, 152.9564"
St John's Oxley Community Garden,"St John's Oxley Community Garden, 18 California Road, Oxley",Community Garden,-27.5597,152.9773,Oxley,"O, Oxley","-27.5597, 152.9773"
"St Johns Avenue Park (nos. 7-27), Ashgrove","St Johns Avenue Park (Nos.7-27), 11 St Johns Avenue, Ashgrove",Park,-27.4442,152.9741,Ashgrove,"A, Ashgrove","-27.4442, 152.9741"
"St Joseph's Nudgee College, Boondall","St Joseph's Nudgee College, 2199 Sandgate Road, Boondall",Non-Council venue,-27.3597726,153.0621353,Boondall,"B, Boondall","-27.3597726, 153.0621353"
St Lucia Bowling Club,"St Lucia Bowling Club, 9 Carr Street, St Lucia",Non-Council venue,-27.4934011,153.0085607,St Lucia,"S, St Lucia","-27.4934011, 153.0085607"
"St Lucia Community Hall, St Lucia","St Lucia Community Hall, 27 Guilfoyle Street, St Lucia",Community Hall,-27.497917,152.996302,St Lucia,"S, St Lucia","-27.497917, 152.996302"
"St Lucia Golf Links, St Lucia","St Lucia Golf Links, Carawa Street, St Lucia","General Council venue,Golf course",-27.5022,152.9911,St Lucia,"S, St Lucia","-27.5022, 152.9911"
"St Lucia Playground Park, St Lucia","St Lucia Playground Park, 119 Carmody Road, St Lucia",Park,-27.4975,152.9988,St Lucia,"S, St Lucia","-27.4975, 152.9988"
"St Martin Court Park, Bald Hills","St Martin Court Park, 235B Bald Hills Road, Bald Hills",Park,-27.3038,153.0128,Bald Hills,"B, Bald Hills","-27.3038, 153.0128"
"St Vincents Road Park, Nudgee","St Vincents Road Park, 562 St Vincents Road, Nudgee",Park,-27.3652,153.0914,Nudgee,"N, Nudgee","-27.3652, 153.0914"
"Stanley Day Park, Bald Hills","Stanley Day Park, 103 Grand Street, Bald Hills",Park,-27.3213,153.0161,Bald Hills,"B, Bald Hills","-27.3213, 153.0161"
"Stanley Park, Deagon","Stanley Park, 60 Albury Street, Deagon",Park,-27.3248,153.0657,Deagon,"D, Deagon","-27.3248, 153.0657"
Stanley Richardson Place Park (road reserve),"Stanley Richardson Place Park, 2 Day Road, Northgate",Park,-27.3928,153.0739,Northgate,"N, Northgate","-27.3928, 153.0739"
"Stanley Street East Park (no. 1090), Coorparoo","Stanley Street East Park (no. 1090), 1060 Stanley Street East, Coorparoo",Park,-27.487532,153.051774,Coorparoo,"C, Coorparoo","-27.487532, 153.051774"
"Stannard Road Park, Manly West","Stannard Road Park, 55 Stannard Road, Manly West",Park,-27.461,153.1693,Manly West,"M, Manly West","-27.461, 153.1693"
"Stanworth Road Park, Boondall","Stanworth Road Park, 73 Stanworth Road, Boondall",Park,-27.3502,153.0655,Boondall,"B, Boondall","-27.3502, 153.0655"
"Stendell Street Park, Wakerley","Stendell Street Park, 28 Caladium Street, Wakerley",Park,-27.4882,153.1467,Wakerley,"W, Wakerley","-27.4882, 153.1467"
"Stewart Place Park, Ashgrove","Stewart Place Park, 253 Waterworks Road, Ashgrove",Park,-27.4455,152.9918,Ashgrove,"A, Ashgrove","-27.4455, 152.9918"
"Stimpson Park, Moorooka","Stimpson Park, 904 Ipswich Road, Moorooka",Park,-27.5263,153.0223,Moorooka,"M, Moorooka","-27.5263, 153.0223"
Stones Corner Library,"Stones Corner Library, 280 Logan Road, Greenslopes",Library,-27.4984,153.0437,Greenslopes,"G, Greenslopes","-27.4984, 153.0437"
"Story Bridge, Kangaroo Point","Story Bridge, Main Street, Kangaroo Point",General Council venue,-27.4637,153.0357,Kangaroo Point,"K, Kangaroo Point","-27.4637, 153.0357"
"Strawberry Farm Park, Carseldine","Strawberry Farm Park, 1643 Gympie Road, Carseldine",Park,-27.3483,153.0139,Carseldine,"C, Carseldine","-27.3483, 153.0139"
"Strawberry Fields Place, Rochedale","Strawberry Fields Place, 11 Kate Circuit, Rochedale",Park,-27.5715,153.1132,Rochedale,"R, Rochedale","-27.5715, 153.1132"
"Stretton Community Park, Stretton","Stretton Community Park, 124 Lexton Street, Stretton",Park,-27.6174,153.069,Stretton,"S, Stretton","-27.6174, 153.069"
Stretton Recreation Reserve,"Stretton Recreation Reserve, Illaweena Street, Drewvale",Park,-27.6418,153.0696,Drewvale,"D, Drewvale","-27.6418, 153.0696"
"Stretton Wetland Reserve, Stretton","Stretton Wetland Reserve, 932 Gowan Road, Stretton",Park,-27.6355,153.0603,Stretton,"S, Stretton","-27.6355, 153.0603"
